fecha,region,valor
2007-10-29,Argentina,3.50066
2007-10-29,Bolivia,
2007-10-29,Brasil,1.74591
2007-10-29,Chile,1.12264
2007-10-29,Colombia,1.6012
2007-10-29,Costa Rica,
2007-10-29,Ecuador,5.97284
2007-10-29,El Salvador,1.6925
2007-10-29,Global,2.10117
2007-10-29,Guatemala,
2007-10-29,Honduras,
2007-10-29,LATINO,2.32541
2007-10-29,México,1.25739
2007-10-29,Panamá,1.5724
2007-10-29,Paraguay,
2007-10-29,Perú,1.45609
2007-10-29,RD-LATINO,-0.04324000000000039
2007-10-29,REP DOM,2.28217
2007-10-29,Uruguay,2.05193
2007-10-29,Venezuela,4.01601
2007-10-30,Argentina,3.40902
2007-10-30,Bolivia,
2007-10-30,Brasil,1.73399
2007-10-30,Chile,1.12886
2007-10-30,Colombia,1.57447
2007-10-30,Costa Rica,
2007-10-30,Ecuador,5.957
2007-10-30,El Salvador,1.66766
2007-10-30,Global,2.09184
2007-10-30,Guatemala,
2007-10-30,Honduras,
2007-10-30,LATINO,2.30653
2007-10-30,México,1.26494
2007-10-30,Panamá,1.5661
2007-10-30,Paraguay,
2007-10-30,Perú,1.45076
2007-10-30,RD-LATINO,-0.025939999999999852
2007-10-30,REP DOM,2.28059
2007-10-30,Uruguay,2.01736
2007-10-30,Venezuela,3.99061
2007-10-31,Argentina,3.11642
2007-10-31,Bolivia,
2007-10-31,Brasil,1.65654
2007-10-31,Chile,1.11809
2007-10-31,Colombia,1.47853
2007-10-31,Costa Rica,
2007-10-31,Ecuador,5.75163
2007-10-31,El Salvador,1.58238
2007-10-31,Global,2.0105
2007-10-31,Guatemala,
2007-10-31,Honduras,
2007-10-31,LATINO,2.20068
2007-10-31,México,1.20928
2007-10-31,Panamá,1.45827
2007-10-31,Paraguay,
2007-10-31,Perú,1.36579
2007-10-31,RD-LATINO,-0.06944000000000017
2007-10-31,REP DOM,2.13124
2007-10-31,Uruguay,1.91474
2007-10-31,Venezuela,3.82922
2007-11-01,Argentina,3.28787
2007-11-01,Bolivia,
2007-11-01,Brasil,1.78215
2007-11-01,Chile,1.09782
2007-11-01,Colombia,1.60699
2007-11-01,Costa Rica,
2007-11-01,Ecuador,5.90083
2007-11-01,El Salvador,1.67401
2007-11-01,Global,2.12474
2007-11-01,Guatemala,
2007-11-01,Honduras,
2007-11-01,LATINO,2.31998
2007-11-01,México,1.3077
2007-11-01,Panamá,1.57267
2007-11-01,Paraguay,
2007-11-01,Perú,1.45911
2007-11-01,RD-LATINO,-0.09482999999999997
2007-11-01,REP DOM,2.22515
2007-11-01,Uruguay,1.9808
2007-11-01,Venezuela,4.01389
2007-11-02,Argentina,3.40686
2007-11-02,Bolivia,
2007-11-02,Brasil,1.85498
2007-11-02,Chile,1.14779
2007-11-02,Colombia,1.68363
2007-11-02,Costa Rica,
2007-11-02,Ecuador,5.95847
2007-11-02,El Salvador,1.74595
2007-11-02,Global,2.20092
2007-11-02,Guatemala,
2007-11-02,Honduras,
2007-11-02,LATINO,2.39996
2007-11-02,México,1.37776
2007-11-02,Panamá,1.6553
2007-11-02,Paraguay,
2007-11-02,Perú,1.52888
2007-11-02,RD-LATINO,-0.08779000000000003
2007-11-02,REP DOM,2.31217
2007-11-02,Uruguay,2.04029
2007-11-02,Venezuela,4.12753
2007-11-05,Argentina,3.55485
2007-11-05,Bolivia,
2007-11-05,Brasil,1.8496
2007-11-05,Chile,1.14929
